post_id,autor_id,texto,contagem_reposts,contagem_likes,timestamp
at://did:plc:t5vxyhuin576wgvbasfogjyi/app.bsky.feed.post/3m46ijrfp722z,maplemash.bsky.social,"Hiii good meowning!!! 
More silk and song tonight 
Gonna be finishing quests to possible get the the truthful ending…

Perhabs… but yea!! Gonna be streaming at 9:00PM CST tonight! 

I’ll post up a link around the time ;3",0,4,2025-10-27T13:10:26.851Z
at://did:plc:qvuoidjtbprkuc2eeujejkmj/app.bsky.feed.post/3m46hgbmuzc2a,greaserkitty.bsky.social,"she is divinity; a paragon of beauty and comfort. her skin is of the finest porcelain, yet her touch is softer than silk. her eyes are polished glass embedded with rich, dark amber set ablaze. her voice is a song of devotion to her lovers; her words a promise of easement. she is divinity.",1,3,2025-10-27T12:50:35.905Z
at://did:plc:2a4ishdeosg5gbk2udu5i4gt/app.bsky.feed.post/3m46ft6f5pk2p,pudge.bsky.social,"Me: ""Man. I'm a little burnt out doing super precise platforming and fighting bosses non-stop.

I'm just gonna explore for a bit, and see what's in these areas I couldn't access before.""

Silk Song: ""GOOD NEWS!""",3,133,2025-10-27T12:22:01.231Z
at://did:plc:hnrle2ermc5kpk6xo35zcd2u/app.bsky.feed.post/3m46dmcw42s2x,yhusky.bsky.social,Pourquoi y’a un gars c’est @dei-pulsar.bsky.social dans Silk Song?,1,7,2025-10-27T11:42:23.599Z
at://did:plc:5tvfrge5xysgbqhy7tx6t3l6/app.bsky.feed.post/3m45pxvjglc2l,salemotter.bsky.social,it’s been a while that I haven’t post anything because I don’t think anyone would care to interact with me so he’s my character for the whole night just completed. I already did the stream and now I’m playing silk song. I might need to redo my OC….,0,0,2025-10-27T05:50:57.379Z
at://did:plc:vkxkdcd46xzzbcyyiqpkqubj/app.bsky.feed.post/3m45jywi4jk2t,ohgodaperson.bsky.social,We are beating Silk song this week!!! To wrap it up we will be doing another collab with the wonderful @oddandstanky!!! I'm so hyped for everything!!,0,0,2025-10-27T04:04:09.486Z
at://did:plc:t3qmkkahbbiau4iuu4c6o5ry/app.bsky.feed.post/3m45irs6mxk25,squatchdaddy.bsky.social,Threading my silk till I song,0,0,2025-10-27T03:42:16.367Z
at://did:plc:bbfxn76z2vlwqk3khvxjtso2/app.bsky.feed.post/3m45gnupdec2o,femmefatale.craves.coffee,"gozou e foi jogar silk song

e nem foi em mim",0,4,2025-10-27T03:04:17.287Z
at://did:plc:yjxx7skcoi74ngcvhcx4sxtw/app.bsky.feed.post/3m45bbxlfx22i,wanderingzero.bsky.social,"Finished We Love Katamari Reroll! I enjoyed it, the story was cute, and seeing how the king of the cosmos grew up was neat. Short and sweet so a much needed pallet cleanser after the length of Silk Song. I'll probably grab One Upon a Katamari later. 4/5*",0,0,2025-10-27T01:28:08.964Z
at://did:plc:35rxkrlaaxdod4q6mmyyfhmc/app.bsky.feed.post/3m457vjo2y223,binko.is.eepy.now,avis u should play silk song ! or listen to the whistle of the autumn air !,0,2,2025-10-27T01:03:17.977Z
at://did:plc:js52freb4xlfc6i3xikns55o/app.bsky.feed.post/3m457pvy2y22v,tdnightgaming.bsky.social,"www.twitch.tv/trinitynight...
Its time to silk more song. Come watch and vibe!
#aroace #vtuber #silksong",0,3,2025-10-27T01:00:09.559Z
at://did:plc:ujmcwwq33dm6f56tmfmyy5ai/app.bsky.feed.post/3m454svilzs24,jtillman.bsky.social,By the way. I got to Act III in Silk Song. I spammed the Cogfly and Snare Setter (80 dmg!) against Lace. Cogfly and Flintslate made short work of Grandmother Silk.,0,0,2025-10-27T00:08:08.491Z
at://did:plc:euftmudfrw4xoi7qlkp35the/app.bsky.feed.post/3m44sl5ws7s2h,negapol.bsky.social,The time to silk some song has arrived. 🪡,0,1,2025-10-26T21:04:51.491Z
at://did:plc:4g6yhdd4efhuakbam2mzfbd5/app.bsky.feed.post/3m44rs2t7is2z,tujomi.bsky.social,"Updated list:

Games Playing
-Cultic Chapter 2
-Keeper
-Ninja Gaiden 4
-Pokemon Legends ZA
-Hades 2

Games To Play Next
-Outer Worlds 2
-Silk Song

Games That Don’t Count
-Battlefield 6
-Overwatch

Still got a month till Metroid.",0,1,2025-10-26T20:50:49.366Z
at://did:plc:3z7fikclfnzvpnlwmg3hnprz/app.bsky.feed.post/3m44riikmec26,thebluekitteh.bsky.social,"EY HORNET!! LISTEN TO MAH SONG! IT'S THE SONG OF SILK!!!!!

#hollowknight #silksong",0,3,2025-10-26T20:45:28.221Z
at://did:plc:kladn2dy64cv4eehajrg6hdu/app.bsky.feed.post/3m44r72l7ts2c,bearlysocial.bsky.social,"I got through the entirety of Legends ZA without noticing the buildings or any glitches. I just had fun

Im so sick of people shitting on the pokemon industry for every little thing

I dgaf if Silk song was 40 bucks. Its not the type of game I enjoy. Fuck off, fr",0,1,2025-10-26T20:40:11.572Z
at://did:plc:hz6hrz4j2nxyqcgmm6vtmh5s/app.bsky.feed.post/3m44jedidcs2z,hitoru.bsky.social,"Uf, que ruido...  La mía no lo hace, pero quizás si se calienta.

 Pero calentarse con Silk Song tendría delito",0,0,2025-10-26T18:19:58.751Z
at://did:plc:d2h75x6h2fdps6hef64v7xna/app.bsky.feed.post/3m44f7ynxe22c,errorrabbit.bsky.social,"It's sunday so the bunnay is gonna play with buggay!
Silk Song again!

Come by, say hi!
Let's talk about how awesome fall is.
www.twitch.tv/error_rabbit",2,3,2025-10-26T17:05:58.216Z
at://did:plc:462kqtorg5fqxkd7ekvopqfx/app.bsky.feed.post/3m44d7refes27,rystorm.com,"And that’s it for GIC! I find it’s the best spot to meet gamedevs from Eastern Europe. I hope you had fun seeing some highlights in this thread

GIC is alongside PGA, which is kinda the Polish Gamescom, so here is a picture of me with Silk from the hit karaoke game Silk Song

See you all next year!",0,12,2025-10-26T16:30:03.074Z
at://did:plc:pw3mbtcj34nh3tnspowys3oj/app.bsky.feed.post/3m444lxencs2w,jazziecat.bsky.social,"My ocs as silk song characters
#Silksong #silksongfanart",1,1,2025-10-26T14:31:35.833Z
at://did:plc:hz6hrz4j2nxyqcgmm6vtmh5s/app.bsky.feed.post/3m43p67enhk2n,hitoru.bsky.social,"Últimamente, jugando a Silk Song, se me paraba la Xbox porqué si (suerte del quick resume) 

 Hoy hemos probado el Split fiction y también me lo ha hecho, así que posiblemente esté sea el último juego que compre dentro del ecosistema XBOX. 

 360 me dió mucho, pero el idilio terminó.",0,4,2025-10-26T10:31:15.823Z
at://did:plc:3kjzgatq7xwhvc6s644pd7ed/app.bsky.feed.post/3m43oudmanc2w,archierhodes.bsky.social,Relateable. On both points. I still have to finish metaphor. Its just sitting there. Such an amazing game is unfinished. Im so close too. On the final dungeon. But i would rather play silk song because its just that good. And i plan on attempting to beat it with mostly just beast crest.,0,0,2025-10-26T10:25:44.722Z
at://did:plc:nmt64ukrrphbh2o3ppnsow2f/app.bsky.feed.post/3m43errjedc2y,shujiwakahisa.bsky.social,"Me: I am going to grind for items off stream for silk song 

Also me: ends up at the start of a cutscene and now i have to wait till next week

FRICK",0,3,2025-10-26T07:25:21.226Z
