post_id,source,target,tipo_interacao,data
264342,22470,264342,repost,20231029
123249,121713,123249,repost,20230907
416729,11032,416729,repost,20240114
299331,3015,299331,repost,20230813
73529,20162,73529,repost,20231110
1463805,36562,1463805,repost,20231111
451309,1345290,451309,repost,20231110
52134,46091,52134,repost,20230904
853322,768361,853322,repost,20230920
258330,58995,258330,repost,20231204
182361,49172,182361,repost,20231214
24115,42513,24115,repost,20230904
1450192,620,1450192,repost,20240207
1427534,5244,1427534,repost,20230915
70491,218994,70491,repost,20240129
142271,26491,142271,repost,20231003
663482,370775,663482,repost,20240106
1057003,250015,1057003,repost,20240312
144812,68748,144812,repost,20240114
35914,597707,35914,repost,20240102
127732,8212,127732,repost,20231113
301746,44400,301746,repost,20231122
96261,1119143,96261,repost,20231128
153142,123349,153142,repost,20230913
185422,9095,185422,repost,20230831
1403043,38,1403043,repost,20230928
660645,631415,660645,repost,20231216
4160,43452,4160,repost,20231117
881440,87008,881440,repost,20231203
665357,15760,665357,repost,20240105
121744,30906,121744,repost,20230916
802143,36485,802143,repost,20230927
297445,614357,297445,repost,20230922
635284,167338,635284,repost,20230816
217035,88279,217035,repost,20230727
288233,218630,288233,repost,20231107
119408,119407,119408,repost,20240119
31300,75548,31300,repost,20230924
499511,5749,499511,repost,20231230
602785,227155,602785,repost,20240209
34191,181510,34191,repost,20240215
1043272,208855,1043272,repost,20230830
531084,88428,531084,repost,20230913
1029082,1854244,1029082,repost,20231121
451467,186141,451467,repost,20230823
61153,60037,61153,repost,20230925
3075,510041,3075,repost,20240215
1831942,24129,1831942,repost,20231117
159824,829346,159824,repost,20231125
717084,7043,717084,repost,20240211
493937,158520,493937,repost,20230816
553539,243147,553539,repost,20240301
31407,393832,31407,repost,20231027
68828,49158,68828,repost,20230928
757491,45955,757491,repost,20240218
702422,37717,702422,repost,20231001
1173420,80231,1173420,repost,20230811
106353,1696,106353,repost,20231119
258720,39408,258720,repost,20230728
13339,16137,13339,repost,20240218
1641318,136548,1641318,repost,20240219
26895,3410,26895,repost,20230805
648970,47207,648970,repost,20230930
151914,6443,151914,repost,20231204
430984,510859,430984,repost,20231227
14595,39023,14595,repost,20231110
451333,68501,451333,repost,20231215
91607,87124,91607,repost,20230909
358529,127584,358529,repost,20231005
362648,6093,362648,repost,20231026
282164,521457,282164,repost,20230828
144571,120711,144571,repost,20240308
480248,30475,480248,repost,20230803
212631,209368,212631,repost,20230905
84977,17982,84977,repost,20230523
26049,1238658,26049,repost,20240201
55536,511857,55536,repost,20231029
155019,1295382,155019,repost,20230816
702572,24897,702572,repost,20230831
39696,37884,39696,repost,20230901
509134,6532,509134,repost,20240116
186355,133685,186355,repost,20230906
70615,53693,70615,repost,20230920
275782,78112,275782,repost,20231216
806556,401637,806556,repost,20240124
147121,147792,147121,repost,20231129
2111593,141241,2111593,repost,20240211
1362006,645188,1362006,repost,20230922
141065,6009,141065,repost,20240128
375341,65900,375341,repost,20231019
34528,19256,34528,repost,20231115
248778,4107233,248778,repost,20240123
15476,15475,15476,repost,20230720
65802,279487,65802,repost,20240125
1116173,1217479,1116173,repost,20240207
73586,117322,73586,repost,20240226
66508,18356,66508,repost,20240126
1020149,37712,1020149,repost,20231011
432167,158149,432167,repost,20230914
238051,36696,238051,repost,20231023
37753,19739,37753,repost,20230907
316517,369,316517,repost,20230808
815932,36645,815932,repost,20231229
612877,135779,612877,repost,20240216
2757846,144,2757846,repost,20240107
159074,61971,159074,repost,20231205
1138233,427231,1138233,repost,20240228
315263,37755,315263,repost,20231129
2027670,41464,2027670,repost,20231212
362819,1070665,362819,repost,20240211
185810,314263,185810,repost,20231117
279214,56645,279214,repost,20240209
800784,47,800784,repost,20231120
296190,512924,296190,repost,20231020
127876,548726,127876,repost,20240314
598514,533080,598514,repost,20231022
330860,3064,330860,repost,20240218
80201,8358,80201,repost,20231226
30161,6832,30161,repost,20240104
64202,931923,64202,repost,20240311
802585,27268,802585,repost,20230902
136825,225051,136825,repost,20240121
925292,362646,925292,repost,20230914
602888,779009,602888,repost,20240214
361489,617,361489,repost,20240312
380075,385246,380075,repost,20240130
546422,194047,546422,repost,20240309
76473,32172,76473,repost,20231121
319949,45715,319949,repost,20230528
700105,5564,700105,repost,20231101
488906,20,488906,repost,20240131
161540,419,161540,repost,20240311
